,cutting_rect,frame,height_scale,video_name,width_scale
0,"[0, 0, 1225, 2160]",98,0.11851851851851852,lore.mp4,0.156734693877551
1,"[0, 0, 1245, 2160]",99,0.11851851851851852,lore.mp4,0.15421686746987953
2,"[0, 0, 1260, 2160]",100,0.11851851851851852,lore.mp4,0.1523809523809524
3,"[0, 0, 1252, 2160]",101,0.11851851851851852,lore.mp4,0.15335463258785942
4,"[0, 0, 1303, 2160]",102,0.11851851851851852,lore.mp4,0.14735226400613968
5,"[119, 0, 1205, 2160]",103,0.11851851851851852,lore.mp4,0.17679558011049723
6,"[145, 0, 1219, 2160]",104,0.11851851851851852,lore.mp4,0.1787709497206704
7,"[151, 0, 1243, 2160]",105,0.11851851851851852,lore.mp4,0.17582417582417584
8,"[177, 0, 1265, 2160]",106,0.11851851851851852,lore.mp4,0.17647058823529413
9,"[125, 0, 1295, 2160]",107,0.11851851851851852,lore.mp4,0.1641025641025641
10,"[129, 0, 1321, 2160]",108,0.11851851851851852,lore.mp4,0.1610738255033557
11,"[44, 0, 1394, 2160]",109,0.11851851851851852,lore.mp4,0.14222222222222222
12,"[77, 0, 1379, 2160]",110,0.11851851851851852,lore.mp4,0.14746543778801843
13,"[61, 0, 1405, 2160]",111,0.11851851851851852,lore.mp4,0.14285714285714285
14,"[110, 0, 1356, 2160]",112,0.11851851851851852,lore.mp4,0.15409309791332262
15,"[94, 0, 1402, 2160]",113,0.11851851851851852,lore.mp4,0.14678899082568808
16,"[16, 0, 1482, 2160]",114,0.11851851851851852,lore.mp4,0.13096862210095497
17,"[17, 0, 1491, 2160]",115,0.11851851851851852,lore.mp4,0.13025780189959293
18,"[0, 0, 1516, 2160]",116,0.11851851851851852,lore.mp4,0.1266490765171504
19,"[377, 461, 1477, 2160]",117,0.15067686874632136,lore.mp4,0.17454545454545456
20,"[367, 0, 1515, 2160]",118,0.11851851851851852,lore.mp4,0.1672473867595819
21,"[364, 0, 1556, 2160]",119,0.11851851851851852,lore.mp4,0.1610738255033557
22,"[358, 0, 1590, 2160]",120,0.11851851851851852,lore.mp4,0.15584415584415584
23,"[290, 75, 1660, 2160]",121,0.12278177458033573,lore.mp4,0.14014598540145987
24,"[347, 0, 1669, 2160]",122,0.11851851851851852,lore.mp4,0.14523449319213314
25,"[367, 0, 1649, 2160]",123,0.11851851851851852,lore.mp4,0.1497659906396256
26,"[302, 0, 1720, 2160]",124,0.11851851851851852,lore.mp4,0.13540197461212977
27,"[374, 0, 1684, 2160]",125,0.11851851851851852,lore.mp4,0.1465648854961832
28,"[429, 0, 1663, 2160]",126,0.11851851851851852,lore.mp4,0.15559157212317667
29,"[423, 0, 1691, 2160]",127,0.11851851851851852,lore.mp4,0.15141955835962145
30,"[424, 0, 1716, 2160]",128,0.11851851851851852,lore.mp4,0.14860681114551083
31,"[489, 0, 1693, 2160]",129,0.11851851851851852,lore.mp4,0.15946843853820597
32,"[493, 0, 1709, 2160]",130,0.11851851851851852,lore.mp4,0.15789473684210525
33,"[601, 0, 1651, 2138]",131,0.11973807296538821,lore.mp4,0.18285714285714286
34,"[778, 0, 1700, 2160]",132,0.11851851851851852,lore.mp4,0.20824295010845986
35,"[484, 0, 1734, 2160]",133,0.11851851851851852,lore.mp4,0.1536
36,"[756, 0, 1750, 2160]",134,0.11851851851851852,lore.mp4,0.193158953722334
37,"[738, 0, 1790, 2160]",135,0.11851851851851852,lore.mp4,0.18250950570342206
38,"[724, 0, 1838, 2160]",136,0.11851851851851852,lore.mp4,0.17235188509874327
